Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
185	-0,0820312	185	0,0703125	185	0,996094
186	-0,0703125	186	0,0625	186	1
187	-0,0742187	187	0,0546875	187	0,992187
188	-0,0898437	188	0,0625	188	0,992187
189	-0,0859375	189	0,0664062	189	0,980469
190	-0,0859375	190	0,0664062	190	0,980469
191	-0,078125	191	0,0546875	191	0,984375
192	-0,0859375	192	0,0625	192	0,980469
193	-0,0859375	193	0,0585937	193	0,976562
194	-0,078125	194	0,0546875	194	0,988281
195	-0,0898437	195	0,0585937	195	0,984375
196	-0,0898437	196	0,0585937	196	0,984375
197	-0,0820312	197	0,0507812	197	0,988281
198	-0,0898437	198	0,0585937	198	0,988281
199	-0,0820312	199	0,0546875	199	0,988281
200	-0,0742187	200	0,046875	200	0,988281
201	-0,0820312	201	0,0546875	201	0,988281
202	-0,078125	202	0,0585937	202	0,996094
203	-0,0625	203	0,0507812	203	0,992187
204	-0,0703125	204	0,0585937	204	0,988281
205	-0,0625	205	0,0546875	205	0,992187
206	-0,0664062	206	0,0546875	206	0,996094
207	-0,078125	207	0,0625	207	0,988281
208	-0,078125	208	0,0664062	208	0,996094
209	-0,078125	209	0,0664062	209	0,996094
210	-0,0742187	210	0,0585937	210	1,00781
211	-0,0898437	211	0,0625	211	1
212	-0,0820312	212	0,0664062	212	1,01172
213	-0,0703125	213	0,0546875	213	1,00781
214	-0,0898437	214	0,0664062	214	0,996094
215	-0,0820312	215	0,0703125	215	0,996094
216	-0,0742187	216	0,0546875	216	0,992187
217	-0,0859375	217	0,0585937	217	0,988281
218	-0,078125	218	0,0703125	218	1
219	-0,0742187	219	0,0507812	219	1
220	-0,0820312	220	0,0703125	220	0,996094
221	-0,078125	221	0,0742187	221	1
222	-0,0703125	222	0,0546875	222	0,992187
223	-0,0859375	223	0,0625	223	0,992187
224	-0,0820312	224	0,0625	224	0,984375
225	-0,0742187	225	0,046875	225	0,976562
226	-0,0898437	226	0,0585937	226	0,972656
227	-0,0898437	227	0,0703125	227	0,976562
228	-0,0859375	228	0,0546875	228	0,976562
229	-0,0859375	229	0,0507812	229	0,980469
230	-0,0898437	230	0,0546875	230	0,976562
231	-0,0859375	231	0,046875	231	0,988281
232	-0,0859375	232	0,0507812	232	0,988281
