Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
298	-0,0234375	298	0,0664062	298	0,949219
299	0,0351562	299	0,0859375	299	0,957031
300	0,0546875	300	0,105469	300	0,972656
301	0,0351562	301	0,113281	301	0,996094
302	0	302	0,0976562	302	1,01953
303	-0,046875	303	0,0898437	303	1,03125
304	-0,117187	304	0,0742187	304	1,03906
305	-0,175781	305	0,0351562	305	1,02734
306	-0,195312	306	0,0078125	306	1,00781
307	-0,199219	307	0	307	0,980469
308	-0,179687	308	0,0117187	308	0,964844
309	-0,179687	309	0,0117187	309	0,964844
310	-0,0507812	310	0,0546875	310	0,929687
311	-0,0507812	311	0,0546875	311	0,929687
312	0,015625	312	0,0742187	312	0,941406
313	0,0234375	313	0,09375	313	0,964844
314	0,0273437	314	0,109375	314	0,984375
315	0,0195312	315	0,101562	315	1,00391
316	-0,03125	316	0,0898437	316	1,02734
317	-0,078125	317	0,0742187	317	1,02734
318	-0,160156	318	0,0195312	318	1,00391
319	-0,183594	319	0,0117187	319	0,992187
320	-0,175781	320	0,0078125	320	0,972656
321	-0,136719	321	0,0195312	321	0,953125
322	-0,0898437	322	0,0507812	322	0,949219
323	-0,03125	323	0,0703125	323	0,960937
324	-0,00390625	324	0,0898437	324	0,980469
325	0,0117187	325	0,101562	325	1
326	-0,0078125	326	0,101562	326	1,01563
327	-0,0351562	327	0,09375	327	1,02734
328	-0,0664062	328	0,0742187	328	1,03125
329	-0,125	329	0,0585937	329	1,02344
330	-0,152344	330	0,0390625	330	1,00391
331	-0,152344	331	0,015625	331	0,996094
332	-0,152344	332	0,015625	332	0,996094
333	-0,148437	333	0,0117187	333	0,996094
334	-0,128906	334	0,0273437	334	0,984375
335	-0,078125	335	0,0507812	335	0,972656
336	-0,03125	336	0,0585937	336	0,976562
337	0	337	0,0898437	337	0,984375
338	0,00390625	338	0,09375	338	0,992187
339	-0,0195312	339	0,101562	339	0,996094
340	-0,0429687	340	0,09375	340	1,00781
341	-0,0820312	341	0,0820312	341	1,01953
342	-0,132812	342	0,0625	342	1,01563
343	-0,164062	343	0,0429687	343	1,01953
344	-0,175781	344	0,015625	344	1,01563
345	-0,171875	345	0,00390625	345	1
346	-0,132812	346	0,0117187	346	0,980469
347	-0,101562	347	0,0390625	347	0,960937
348	-0,0390625	348	0,0625	348	0,953125
349	0,015625	349	0,0820312	349	0,957031
350	0,0429687	350	0,101562	350	0,964844
351	0,0234375	351	0,113281	351	0,984375
352	-0,0078125	352	0,109375	352	1,00781
353	-0,0429687	353	0,0898437	353	1,02344
354	-0,109375	354	0,0742187	354	1,02734
355	-0,191406	355	0,0117187	355	1,01563
356	-0,183594	356	-0,00390625	356	0,992187
357	-0,179687	357	0,0078125	357	0,96875
358	-0,136719	358	0,0273437	358	0,9375
359	-0,0742187	359	0,0546875	359	0,929687
360	-0,00390625	360	0,078125	360	0,933594
361	0,0234375	361	0,0976562	361	0,949219
362	0,0234375	362	0,0976562	362	0,949219
363	0,03125	363	0,109375	363	0,972656
364	0,0195312	364	0,101562	364	0,996094
365	-0,0234375	365	0,0898437	365	1,01953
366	-0,0703125	366	0,0664062	366	1,03125
367	-0,132812	367	0,0585937	367	1,02734
368	-0,152344	368	0,0234375	368	1,01953
369	-0,171875	369	0,0117187	369	1,00391
370	-0,167969	370	0,0117187	370	0,976562
371	-0,140625	371	0,0234375	371	0,949219
372	-0,0976562	372	0,046875	372	0,945312
373	-0,0976562	373	0,046875	373	0,945312
374	-0,0546875	374	0,0664062	374	0,949219
375	-0,015625	375	0,0859375	375	0,960937
376	0,00390625	376	0,09375	376	0,988281
377	-0,0195312	377	0,101562	377	1,00391
378	-0,046875	378	0,09375	378	1,02734
379	-0,0625	379	0,0820312	379	1,04297
